generation,fish,shark
428,4032,1002
429,4098,945
430,4166,889
431,4260,840
432,4356,793
433,4469,753
434,4593,716
435,4729,686
436,4871,661
437,5023,640
438,5185,623
439,5352,609
440,5286,1194
441,4964,1185
442,4784,1177
443,4643,1170
444,4547,1163
445,4471,1157
446,4417,1151
447,4375,1142
448,4353,1067
449,4347,1026
450,4363,985
451,4398,944
452,4438,907
453,4499,873
454,4565,842
455,4646,815
456,4740,791
457,4852,770
458,4968,752
459,5103,736
460,4983,1443
461,4540,1431
462,4250,1421
463,4022,1411
464,3845,1403
465,3710,1393
466,3600,1383
467,3515,1369
468,3455,1253
469,3417,1184
470,3408,1112
471,3416,1040
472,3446,973
473,3490,914
474,3557,861
475,3639,812
476,3745,772
477,3870,736
478,4012,706
479,4175,681
480,4178,1319
481,3888,1301
482,3734,1286
483,3627,1271
484,3571,1258
485,3537,1246
486,3541,1231
487,3546,1217
488,3588,1070
489,3639,997
490,3720,925
491,3804,861
492,3918,805
493,4033,760
494,4173,720
495,4314,685
496,4481,657
497,4645,635
498,4827,615
499,5010,597
500,5009,1168
501,4738,1156
502,4602,1148
503,4504,1141
504,4450,1133
505,4422,1126
506,4407,1119
507,4403,1109
508,4416,1025
509,4446,979
510,4486,934
511,4543,890
512,4605,850
513,4685,817
514,4764,785
515,4862,757
516,4968,736
517,5086,717
518,5208,700
519,5350,685
520,5236,1345
521,4832,1335
522,4577,1325
523,4369,1317
524,4212,1310
525,4095,1302
526,3996,1295
527,3930,1285
528,3875,1192
529,3846,1137
530,3830,1081
531,3841,1024
532,3860,973
533,3907,926
534,3965,883
535,4042,845
536,4135,811
537,4244,782
538,4375,754
539,4520,731
540,4466,1426
541,4094,1409
542,3865,1395
543,3690,1383
544,3567,1372
545,3476,1359
546,3418,1347
547,3375,1330
548,3362,1185
549,3374,1110
550,3404,1033
551,3453,963
552,3516,901
553,3603,846
554,3701,800
555,3823,759
556,3953,726
557,4113,696
558,4283,670
559,4469,648
560,4477,1259
561,4222,1244
562,4088,1232
563,4001,1217
564,3957,1205
565,3929,1193
566,3929,1180
567,3936,1166
568,3969,1035
569,4015,973
570,4074,913
571,4146,858
572,4231,811
573,4331,770
574,4438,731
575,4565,699
576,4701,675
577,4853,653
578,5015,636
579,5183,622
580,5138,1216
581,4816,1206
582,4643,1197
583,4514,1190
584,4432,1183
585,4362,1176
586,4329,1169
587,4298,1161
588,4293,1079
589,4295,1031
590,4328,983
591,4359,937
592,4418,893
593,4479,853
594,4559,818
595,4647,787
596,4749,761
597,4861,739
598,4984,719
599,5112,702
600,5010,1376
601,4594,1365
602,4332,1355
603,4124,1346
604,3976,1338
605,3857,1329
606,3770,1319
607,3701,1307
608,3660,1196
609,3635,1129
610,3642,1065
611,3656,1000
612,3699,942
613,3755,890
614,3835,842
615,3925,797
616,4045,762
617,4159,731
618,4311,704
619,4456,682
620,4451,1326
621,4131,1310
622,3968,1296
623,3834,1283
624,3769,1271
625,3713,1258
626,3684,1244
627,3668,1230
628,3684,1089
629,3703,1019
630,3753,955
631,3814,897
632,3897,846
633,3990,800
634,4103,761
635,4233,729
636,4380,701
637,4538,677
638,4705,657
639,4887,640
640,4870,1249
641,4584,1236
642,4427,1225
643,4309,1213
644,4233,1202
645,4193,1192
646,4163,1181
647,4153,1168
648,4151,1053
649,4171,996
650,4205,937
651,4256,886
652,4324,841
653,4407,803
654,4505,772
655,4616,744
656,4742,721
657,4876,701
658,5019,682
659,5171,666
660,5098,1305
661,4743,1295
662,4521,1285
663,4351,1276
664,4226,1267
665,4132,1258
666,4067,1250
667,4010,1238
668,3980,1139
669,3970,1084
670,3975,1029
671,4001,975
672,4037,923
673,4097,879
674,4173,841
675,4263,804
676,4373,773
677,4491,745
678,4630,721
679,4774,701
680,4709,1370
681,4344,1355
682,4128,1343
683,3958,1332
684,3841,1321
685,3757,1310
686,3702,1297
687,3663,1282
688,3651,1153
689,3654,1083
690,3681,1015
691,3721,947
692,3783,888
693,3846,837
694,3934,792
695,4036,753
696,4154,719
697,4284,688
698,4431,665
699,4588,643
700,4576,1249
701,4293,1234
702,4143,1220
703,4028,1208
704,3964,1197
705,3922,1186
706,3912,1175
707,3914,1161
708,3934,1039
709,3973,980
710,4032,923
711,4098,867
712,4189,820
713,4279,780
714,4393,744
715,4511,718
716,4654,692
717,4795,671
718,4963,652
719,5124,635
720,5091,1243
721,4771,1232
722,4597,1222
723,4455,1213
724,4367,1205
725,4290,1197
726,4246,1187
727,4209,1176
728,4196,1076
729,4199,1022
730,4220,966
731,4251,915
732,4302,868
733,4364,826
734,4441,790
735,4538,758
736,4646,732
737,4763,709
738,4893,689
739,5041,672
740,4954,1317
741,4583,1306
742,4350,1296
743,4176,1286
744,4038,1278
745,3941,1269
746,3863,1260
