generation,fish,shark
398,31207,3661
399,32086,3461
400,32157,6598
401,30299,6485
402,28954,6387
403,28077,5813
404,27635,5359
405,27480,4893
406,27604,4479
407,28068,4107
408,28725,3814
409,29569,3581
410,29889,6772
411,28154,6622
412,26898,6502
413,26267,5833
414,25997,5309
415,26005,4795
416,26427,4355
417,27099,3975
418,27925,3653
419,29058,3400
420,29575,6380
421,28189,6236
422,27376,6103
423,27012,5437
424,26963,4935
425,27245,4460
426,27795,4063
427,28605,3733
428,29637,3454
429,30778,3232
430,31301,6117
431,29978,5979
432,29115,5873
433,28737,5318
434,28616,4894
435,28756,4513
436,29209,4153
437,29853,3853
438,30682,3601
439,31690,3398
440,31911,6468
441,30250,6340
442,29015,6233
443,28314,5669
444,27983,5236
445,27915,4788
446,28165,4381
447,28684,4029
448,29358,3738
449,30292,3511
450,30534,6677
451,28715,6542
452,27502,6424
453,26863,5786
454,26498,5297
455,26479,4804
456,26832,4367
457,27406,4005
458,28222,3705
459,29322,3451
460,29798,6505
461,28263,6357
462,27311,6223
463,26837,5582
464,26674,5076
465,26880,4589
466,27378,4185
467,28076,3838
468,29018,3569
469,30172,3340
470,30643,6325
471,29247,6196
472,28349,6087
473,27879,5501
474,27724,5034
475,27919,4603
476,28363,4226
477,28991,3877
478,29890,3612
479,30956,3384
480,31240,6428
481,29709,6285
482,28643,6172
483,28052,5579
484,27771,5133
485,27809,4684
486,28177,4291
487,28767,3958
488,29542,3686
489,30549,3476
490,30844,6599
491,29175,6465
492,27969,6348
493,27305,5729
494,26939,5257
495,26946,4779
496,27282,4382
497,27837,4027
498,28620,3729
499,29660,3488
500,30065,6573
501,28461,6429
502,27394,6296
503,26839,5629
504,26672,5126
505,26782,4625
506,27215,4194
507,27931,3839
508,28874,3549
509,30014,3323
510,30504,6287
511,29118,6148
512,28231,6031
513,27829,5416
514,27721,4962
515,27909,4511
516,28458,4136
517,29187,3816
518,30050,3548
519,31173,3344
520,31571,6348
521,30021,6223
522,28999,6119
523,28446,5546
524,28150,5120
525,28188,4678
526,28548,4273
527,29051,3949
528,29788,3674
529,30749,3456
530,30954,6552
531,29259,6424
532,28106,6311
533,27468,5691
534,27114,5220
535,27101,4743
536,27432,4342
537,27934,4007
538,28719,3727
539,29759,3496
540,30141,6583
541,28553,6436
542,27494,6302
543,26944,5631
544,26752,5135
545,26879,4623
546,27337,4184
547,28015,3825
548,28831,3533
549,29925,3300
550,30442,6228
551,29046,6088
552,28179,5980
553,27852,5374
554,27807,4931
555,28003,4486
556,28563,4117
557,29275,3807
558,30142,3558
559,31298,3344
560,31662,6348
561,30055,6223
562,29013,6122
563,28465,5568
564,28158,5149
565,28193,4702
566,28571,4306
567,29091,3970
568,29822,3703
569,30753,3480
570,30999,6612
571,29249,6473
572,28086,6350
573,27421,5737
574,27017,5260
575,27014,4797
576,27364,4398
577,27906,4052
578,28717,3754
579,29730,3514
580,30092,6639
581,28450,6489
582,27288,6361
583,26721,5719
584,26444,5208
585,26525,4712
586,26937,4289
587,27599,3917
588,28423,3625
589,29488,3387
590,30013,6367
591,28587,6218
592,27704,6085
593,27309,5440
594,27194,4978
595,27401,4518
596,27991,4140
597,28711,3811
598,29645,3548
599,30818,3339
600,31250,6348
601,29732,6227
602,28747,6117
603,28221,5544
604,28000,5098
605,28044,4665
606,28386,4289
607,29027,3952
608,29800,3677
609,30788,3449
610,31135,6520
611,29487,6376
612,28315,6264
613,27684,5654
614,27344,5199
615,27318,4747
616,27674,4350
617,28209,4006
618,28923,3723
619,30000,3509
620,30357,6642
621,28621,6491
622,27530,6364
623,26920,5713
624,26576,5193
625,26648,4696
626,27074,4266
627,27643,3893
628,28484,3597
629,29591,3360
630,30075,6323
631,28703,6183
632,27843,6058
633,27430,5434
634,27402,4964
635,27669,4502
636,28163,4118
637,28883,3800
638,29852,3539
639,30946,3327
640,31370,6289
641,29949,6155
642,28953,6046
643,28420,5508
644,28196,5086
645,28274,4674
646,28603,4318
647,29191,4004
648,29961,3745
649,30860,3541
650,31084,6758
651,29309,6627
652,27990,6501
653,27180,5871
654,26734,5385
655,26665,4871
656,26896,4443
657,27406,4078
658,28191,3755
659,29116,3509
660,29513,6618
661,27965,6462
662,26880,6332
663,26329,5666
664,26166,5146
665,26276,4652
666,26739,4223
667,27496,3865
668,28419,3568
669,29592,3328
670,30192,6262
671,28854,6121
672,28024,5992
673,27702,5378
674,27647,4919
675,27908,4473
676,28435,4074
677,29144,3748
678,30053,3491
679,31208,3298
680,31604,6268
681,30088,6150
682,29110,6044
683,28617,5497
684,28355,5060
685,28460,4619
686,28817,4230
687,29381,3902
688,30146,3632
689,31082,3430
690,31312,6526
691,29593,6402
692,28369,6282
693,27640,5711
694,27260,5269
695,27200,4812
696,27484,4402
697,27973,4040
698,28733,3752
699,29724,3519
700,30091,6644
701,28467,6493
702,27317,6367
703,26704,5704
704,26404,5193
705,26478,4692
706,26957,4245
707,27581,3872
708,28416,3575
709,29614,3345
710,30080,6311
711,28713,6160
712,27949,6032
713,27523,5408
714,27431,4927
715,27711,4464
716,28231,4089
717,28925,3757
718,29897,3496
719,31058,3285
720,31478,6236
721,30105,6103
722,29161,5993
723,28661,5429
724,28496,5008
725,28613,4597
726,28993,4238
727,29600,3929
728,30401,3675
729,31400,3467
730,31576,6599
731,29822,6468
732,28618,6357
733,27782,5791
734,27371,5318
735,27314,4867
736,27536,4445
737,27966,4088
738,28718,3788
739,29626,3545
740,29886,6712
741,28203,6557
742,27007,6428
743,26371,5775
744,26142,5244
745,26197,4728
746,26608,4275
747,27299,3914
748,28218,3622
749,29350,3381
750,29910,6364
751,28520,6219
752,27647,6100
753,27257,5467
754,27195,4995
755,27407,4527
756,27959,4108
757,28768,3768
758,29709,3497
759,30831,3290
760,31353,6233
761,29905,6096
762,28928,5976
763,28510,5407
764,28278,4988
765,28415,4544
766,28894,4174
767,29503,3847
768,30303,3581
769,31329,3381
770,31548,6435
771,29882,6312
772,28723,6206
773,28086,5657
774,27727,5215
775,27688,4762
776,27987,4365
777,28531,4032
778,29257,3739
779,30206,3504
780,30499,6630
781,28832,6483
782,27662,6365
783,26989,5718
784,26677,5221
785,26686,4741
786,27026,4323
787,27647,3965
788,28453,3667
789,29529,3421
790,30005,6438
791,28502,6285
792,27539,6159
793,27109,5498
794,26946,5000
795,27150,4510
796,27674,4098
797,28397,3745
798,29317,3457
799,30449,3242
800,30880,6141
801,29526,6000
802,28708,5889
803,28282,5321
804,28170,4892
805,28379,4475
806,28888,4116
807,29552,3812
808,30379,3552
809,31432,3352
810,31763,6385
811,30115,6259
812,29020,6148
813,28411,5588
814,28091,5128
815,28092,4677
816,28405,4282
817,28880,3950
818,29640,3676
819,30571,3450
820,30764,6540
821,29073,6400
822,27914,6285
823,27269,5677
824,26998,5206
825,27056,4733
826,27505,4296
827,28125,3939
828,28962,3651
829,30042,3421
830,30427,6442
831,28903,6303
832,27887,6184
833,27316,5571
834,27111,5109
835,27239,4646
836,27629,4234
837,28305,3881
838,29164,3599
839,30180,3373
840,30561,6394
841,29076,6247
842,28073,6123
843,27576,5511
844,27418,5051
845,27606,4588
846,28052,4174
847,28746,3818
848,29650,3534
849,30759,3300
850,31109,6264
851,29635,6127
852,28682,6020
853,28117,5468
854,27918,5038
855,28074,4634
856,28450,4260
857,29063,3939
858,29870,3680
859,30938,3456
860,31213,6565
861,29466,6439
862,28293,6325
863,27611,5733
864,27246,5266
865,27192,4780
866,27501,4356
867,28005,4017
868,28741,3709
869,29733,3466
870,30029,6552
871,28439,6403
872,27355,6288
873,26758,5636
874,26522,5141
875,26685,4654
876,27125,4223
877,27812,3869
878,28726,3590
879,29822,3354
880,30364,6356
881,28958,6206
882,28037,6083
883,27625,5445
884,27521,4967
885,27713,4516
886,28229,4128
887,28897,3796
888,29799,3544
889,30843,3330
890,31214,6306
891,29741,6177
892,28759,6060
893,28248,5460
894,28043,5043
895,28128,4621
896,28552,4239
897,29151,3915
898,29955,3650
899,30960,3445
900,31285,6538
901,29612,6393
902,28417,6287
903,27743,5690
904,27377,5241
905,27333,4770
906,27646,4362
907,28087,4018
908,28784,3725
909,29858,3487
910,30159,6586
911,28523,6426
912,27489,6304
913,26881,5655
914,26634,5161
915,26811,4669
916,27235,4273
917,27852,3926
918,28755,3653
919,29844,3433
920,30266,6514
921,28781,6364
922,27742,6242
923,27176,5612
924,26990,5126
925,27110,4625
926,27522,4211
927,28195,3856
928,29086,3569
929,30137,3327
930,30610,6302
931,29157,6165
932,28216,6056
933,27822,5470
934,27659,5025
935,27838,4567
936,28312,4198
937,28955,3867
938,29840,3610
939,30840,3406
940,31190,6458
941,29607,6316
942,28470,6198
943,27859,5594
944,27626,5145
945,27638,4678
946,28047,4282
947,28604,3945
948,29330,3649
949,30374,3428
950,30740,6500
951,29136,6349
952,28062,6228
953,27460,5620
954,27196,5168
955,27295,4695
956,27657,4301
957,28263,3965
958,29174,3671
959,30217,3427
960,30638,6486
961,29124,6342
962,28072,6219
963,27508,5624
964,27269,5163
965,27345,4707
966,27710,4309
967,28318,3953
968,29124,3665
969,30128,3428
970,30528,6476
971,28985,6328
972,27940,6192
973,27430,5553
974,27209,5083
975,27317,4610
976,27772,4211
977,28385,3878
978,29231,3593
979,30344,3378
980,30722,6381
981,29207,6232
982,28252,6117
983,27738,5506
984,27501,5062
985,27584,4611
986,27998,4226
987,28621,3911
988,29459,3644
989,30495,3426
990,30872,6519
991,29271,6380
992,28117,6273
993,27483,5680
994,27212,5203
995,27233,4729
996,27570,4325
997,28124,3972
998,28870,3680
999,29908,3433
1000,30316,6473
1001,28727,6325
1002,27673,6210
1003,27167,5589
1004,26931,5106
1005,27056,4638
1006,27499,4254
1007,28094,3912
1008,28957,3638
1009,30072,3403
1010,30412,6440
1011,28962,6305
1012,27963,6184
1013,27416,5550
1014,27235,5073
1015,27407,4583
1016,27818,4173
1017,28518,3832
1018,29436,3552
1019,30480,3327
1020,30900,6285
1021,29428,6144
1022,28496,6030
1023,27996,5452
1024,27822,5022
1025,27959,4597
1026,28363,4236
1027,29016,3933
1028,29931,3660
1029,30940,3447
1030,31248,6536
1031,29608,6406
1032,28451,6297
1033,27792,5677
1034,27519,5205
1035,27536,4743
1036,27786,4339
1037,28333,3972
1038,29119,3704
1039,30049,3478
1040,30422,6595
1041,28734,6448
1042,27657,6321
1043,27128,5658
1044,26866,5144
1045,26924,4659
1046,27412,4247
1047,28034,3902
1048,28859,3613
