generation,fish,shark
404,9602,1763
405,9534,1623
406,9562,1498
407,9678,1389
408,9850,1296
409,10111,1222
410,10127,2325
411,9476,2274
412,9014,2229
413,8722,2000
414,8560,1824
415,8532,1651
416,8599,1501
417,8789,1369
418,9043,1261
419,9375,1174
420,9553,2206
421,9067,2146
422,8753,2098
423,8605,1850
424,8582,1673
425,8673,1491
426,8880,1344
427,9162,1219
428,9519,1119
429,9947,1046
430,10162,1982
431,9810,1936
432,9592,1898
433,9526,1713
434,9551,1579
435,9670,1452
436,9870,1344
437,10141,1249
438,10441,1175
439,10791,1112
440,10881,2129
441,10329,2092
442,9947,2059
443,9712,1874
444,9570,1733
445,9526,1599
446,9584,1472
447,9705,1363
448,9896,1276
449,10177,1201
450,10189,2282
451,9548,2235
452,9096,2196
453,8814,1985
454,8652,1817
455,8620,1642
456,8699,1493
457,8856,1359
458,9132,1246
459,9460,1153
460,9600,2168
461,9124,2112
462,8797,2065
463,8645,1832
464,8652,1656
465,8721,1482
466,8930,1338
467,9239,1218
468,9592,1120
469,10027,1049
470,10282,1978
471,9910,1933
472,9685,1898
473,9628,1715
474,9632,1578
475,9721,1450
476,9909,1341
477,10149,1246
478,10442,1167
479,10791,1108
480,10886,2121
481,10339,2082
482,9964,2050
483,9729,1876
484,9604,1738
485,9566,1600
486,9619,1474
487,9749,1365
488,9953,1277
489,10223,1205
490,10266,2296
491,9606,2248
492,9141,2207
493,8861,1988
494,8699,1814
495,8639,1648
496,8728,1500
497,8905,1372
498,9127,1268
499,9471,1183
500,9618,2227
501,9082,2170
502,8760,2123
503,8599,1879
504,8539,1704
505,8630,1531
506,8820,1385
507,9065,1261
508,9422,1164
509,9858,1086
510,10063,2040
511,9678,1992
512,9438,1954
513,9327,1760
514,9324,1613
515,9434,1471
516,9621,1351
517,9868,1247
518,10176,1167
519,10543,1101
520,10659,2094
521,10162,2049
522,9825,2012
523,9627,1824
524,9536,1687
525,9535,1549
526,9646,1421
527,9815,1317
528,10050,1230
529,10368,1160
530,10442,2206
531,9855,2163
532,9438,2126
533,9193,1937
534,9046,1782
535,9031,1632
536,9131,1492
537,9273,1371
538,9510,1276
539,9840,1193
540,9958,2256
541,9390,2207
542,9009,2162
543,8800,1929
544,8695,1750
545,8713,1585
546,8836,1432
547,9049,1302
548,9340,1200
549,9714,1116
550,9901,2106
551,9473,2052
552,9191,2010
553,9072,1794
554,9086,1634
555,9179,1486
556,9358,1359
557,9628,1252
558,9961,1165
559,10350,1098
560,10526,2091
561,10055,2047
562,9745,2013
563,9564,1830
564,9493,1687
565,9522,1552
566,9645,1429
567,9834,1324
568,10086,1240
569,10380,1170
570,10446,2225
571,9841,2180
572,9396,2143
573,9154,1945
574,9010,1789
575,8975,1626
576,9069,1485
577,9224,1370
578,9449,1270
579,9794,1186
580,9908,2237
581,9350,2183
582,8989,2139
583,8788,1912
584,8692,1735
585,8755,1562
586,8912,1411
587,9137,1283
588,9458,1184
589,9849,1106
590,10010,2085
591,9567,2036
592,9293,1995
593,9187,1785
594,9167,1634
595,9256,1487
596,9439,1364
597,9682,1262
598,10008,1174
599,10399,1099
600,10526,2074
601,10041,2031
602,9733,1997
603,9561,1808
604,9480,1666
605,9517,1525
606,9642,1406
607,9814,1307
608,10079,1222
609,10423,1148
610,10488,2180
611,9922,2139
612,9538,2103
613,9306,1915
614,9172,1761
615,9167,1606
616,9234,1468
617,9393,1355
618,9648,1258
619,9970,1184
620,10060,2237
621,9510,2185
622,9127,2142
623,8908,1913
624,8820,1742
625,8850,1574
626,8963,1430
627,9173,1315
628,9479,1215
629,9836,1129
630,10021,2136
631,9563,2090
632,9234,2050
633,9080,1845
634,9045,1683
635,9088,1526
636,9256,1388
637,9498,1279
638,9800,1182
639,10174,1107
640,10324,2095
641,9831,2051
642,9524,2014
643,9354,1829
644,9307,1679
645,9368,1531
646,9506,1410
647,9709,1303
648,10004,1213
649,10344,1138
650,10440,2160
651,9895,2115
652,9522,2078
653,9305,1882
654,9209,1727
655,9201,1573
656,9296,1439
657,9490,1328
658,9734,1231
659,10054,1155
660,10170,2190
661,9635,2142
662,9260,2103
663,9074,1892
664,8998,1720
665,9021,1560
666,9163,1422
667,9389,1300
668,9669,1203
669,10036,1131
670,10187,2141
671,9684,2092
672,9370,2052
673,9199,1851
674,9119,1701
675,9167,1558
676,9313,1430
677,9517,1314
678,9779,1221
679,10135,1149
680,10263,2178
681,9727,2129
682,9363,2091
683,9163,1885
684,9058,1726
685,9084,1566
686,9197,1431
687,9389,1315
688,9670,1222
689,10015,1145
690,10144,2169
691,9625,2118
692,9282,2076
693,9072,1869
694,9001,1706
695,9027,1558
696,9139,1427
697,9341,1314
698,9619,1216
699,9960,1133
700,10118,2146
701,9628,2096
702,9290,2054
703,9147,1831
704,9092,1673
705,9143,1519
706,9313,1387
707,9553,1270
708,9850,1181
709,10223,1106
710,10361,2097
711,9877,2056
712,9558,2017
713,9397,1824
714,9311,1677
715,9360,1532
716,9492,1414
717,9694,1305
718,9973,1218
719,10317,1143
720,10403,2176
721,9867,2127
722,9494,2089
723,9279,1879
724,9164,1723
725,9182,1574
726,9290,1439
727,9474,1320
728,9749,1227
729,10068,1151
730,10178,2180
731,9645,2133
732,9267,2094
733,9076,1891
734,8986,1727
735,8994,1570
736,9123,1439
737,9313,1320
738,9589,1224
739,9950,1147
740,10084,2171
741,9575,2122
742,9243,2082
743,9062,1869
744,8996,1706
745,9061,1539
746,9216,1395
747,9450,1272
748,9772,1174
749,10135,1100
750,10272,2086
751,9825,2042
752,9519,2003
753,9387,1808
754,9335,1662
755,9380,1524
756,9531,1402
757,9735,1299
758,10021,1215
759,10369,1145
760,10459,2176
761,9903,2132
762,9530,2094
763,9298,1895
764,9168,1741
765,9159,1592
766,9239,1459
767,9411,1342
768,9651,1246
769,9966,1166
770,10062,2204
771,9514,2152
772,9139,2105
773,8929,1885
774,8842,1725
775,8873,1558
776,9017,1408
777,9220,1283
778,9508,1189
779,9898,1111
780,10055,2089
781,9599,2040
782,9321,2000
783,9187,1791
784,9167,1639
785,9257,1488
786,9420,1361
787,9663,1257
788,9978,1170
789,10341,1102
790,10474,2090
791,10001,2046
792,9676,2010
793,9503,1822
794,9451,1676
795,9478,1530
796,9598,1402
797,9791,1299
798,10038,1215
799,10349,1146
800,10413,2180
801,9843,2136
802,9438,2097
803,9212,1899
804,9093,1737
805,9061,1580
806,9150,1446
807,9336,1327
808,9584,1233
809,9912,1154
810,10032,2184
811,9489,2139
812,9124,2096
813,8939,1883
814,8859,1716
815,8888,1549
816,9031,1408
817,9255,1291
818,9548,1190
819,9902,1111
820,10084,2092
821,9644,2040
822,9352,1995
823,9232,1784
824,9225,1628
825,9301,1480
826,9477,1359
827,9725,1257
828,10034,1173
829,10417,1108
830,10560,2112
831,10058,2068
832,9724,2033
833,9554,1847
834,9465,1699
835,9476,1556
836,9598,1432
837,9803,1319
838,10054,1227
839,10376,1153
840,10446,2192
841,9855,2146
842,9456,2110
843,9226,1912
844,9092,1760
845,9094,1607
846,9205,1472
847,9376,1353
848,9641,1254
849,9972,1171
850,10077,2208
851,9536,2162
852,9162,2116
853,8948,1897
854,8871,1735
855,8902,1566
856,9028,1422
857,9263,1301
858,9552,1201
859,9907,1122
860,10082,2119
861,9619,2073
862,9309,2030
863,9188,1823
864,9140,1673
865,9186,1522
866,9378,1391
867,9614,1273
868,9889,1180
869,10274,1108
870,10407,2103
871,9902,2056
872,9575,2020
873,9403,1825
874,9322,1680
875,9353,1539
876,9492,1410
877,9683,1304
878,9957,1214
879,10311,1144
880,10405,2174
881,9856,2130
882,9479,2092
883,9257,1895
884,9139,1739
885,9132,1590
886,9236,1457
887,9415,1341
888,9662,1244
889,9991,1166
890,10102,2209
891,9534,2159
892,9157,2118
893,8958,1903
894,8823,1739
895,8847,1578
896,8987,1433
897,9191,1305
898,9482,1205
899,9838,1123
900,9996,2114
901,9531,2064
902,9227,2022
903,9091,1808
904,9053,1645
905,9128,1495
906,9290,1368
907,9538,1258
908,9851,1167
909,10246,1093
910,10406,2066
911,9942,2021
912,9646,1982
913,9507,1790
914,9469,1643
915,9533,1502
916,9680,1379
917,9903,1278
918,10200,1193
919,10537,1129
920,10645,2147
921,10094,2104
922,9696,2069
923,9498,1887
924,9357,1745
925,9333,1590
