generation,fish,shark
392,7254,11
393,7322,11
394,7379,11
395,7427,11
396,7493,11
397,7553,11
398,7604,11
399,7672,11
400,7719,22
401,7764,22
402,7830,22
403,7888,22
404,7938,22
405,8006,22
406,8067,22
407,8116,22
408,8187,22
409,8252,22
410,8304,22
411,8375,22
412,8438,22
413,8493,22
414,8565,22
415,8628,22
416,8684,22
417,8755,22
418,8815,22
419,8871,22
420,8945,22
421,9009,22
422,9067,22
423,9138,22
424,9199,22
425,9256,22
426,9330,22
427,9393,22
428,9451,22
429,9526,22
430,9590,22
431,9652,22
432,9729,22
433,9794,22
434,9854,22
435,9931,22
436,9995,22
437,10055,22
438,10131,22
439,10199,22
440,10259,22
441,10337,22
442,10407,22
443,10468,22
444,10547,22
445,10614,22
446,10676,22
447,10754,22
448,10822,22
449,10883,22
450,10962,22
451,11030,22
452,11090,22
453,11171,22
454,11239,22
455,11301,22
456,11383,22
457,11457,22
458,11517,22
459,11596,22
460,11673,22
461,11736,22
462,11816,22
463,11892,22
464,11959,22
465,12043,22
466,12116,22
467,12181,22
468,12268,22
469,12342,22
470,12407,22
471,12496,22
472,12569,22
473,12635,22
474,12723,22
475,12799,22
476,12864,22
477,12945,22
478,13022,22
479,13091,22
480,13176,22
481,13253,22
482,13321,22
483,13412,22
484,13489,22
485,13559,22
486,13646,22
487,13724,22
488,13793,22
489,13881,22
490,13962,22
491,14035,22
492,14122,22
493,14202,22
494,14272,22
495,14363,22
496,14444,22
497,14516,22
498,14607,22
499,14688,22
500,14742,44
501,14816,44
502,14894,44
503,14962,44
504,15047,44
505,15130,44
506,15200,44
507,15287,44
508,15367,44
509,15439,44
510,15524,44
511,15606,44
512,15677,44
513,15762,44
514,15843,44
515,15916,44
516,16004,44
517,16085,44
518,16156,44
519,16239,44
520,16320,44
521,16390,44
522,16471,44
523,16551,44
524,16623,44
525,16706,44
526,16784,44
527,16856,44
528,16945,44
529,17025,44
530,17094,44
531,17179,44
532,17257,44
533,17328,44
534,17410,44
535,17488,44
536,17558,44
537,17642,44
538,17719,44
539,17789,44
540,17871,44
541,17951,44
542,18017,44
543,18098,44
544,18176,44
545,18245,44
546,18327,44
547,18405,44
548,18477,44
549,18557,44
550,18638,44
551,18703,44
552,18784,44
553,18865,44
554,18937,44
555,19018,44
556,19091,44
557,19164,44
558,19247,44
559,19321,44
560,19389,44
561,19475,44
562,19548,44
563,19616,44
564,19701,44
565,19774,44
566,19837,44
567,19912,44
568,19982,44
569,20039,44
570,20110,44
571,20176,44
572,20232,44
573,20303,44
574,20360,44
575,20417,44
576,20486,44
577,20546,44
578,20599,44
579,20664,44
580,20722,44
581,20774,44
582,20837,44
583,20891,44
584,20942,44
585,21003,44
586,21057,44
587,21106,44
588,21168,44
589,21223,44
590,21269,44
591,21323,44
592,21376,44
593,21421,44
594,21473,44
595,21525,44
596,21568,44
597,21623,44
598,21672,44
599,21714,44
600,21730,88
601,21742,88
602,21763,88
603,21797,88
604,21832,88
605,21857,88
606,21895,88
607,21936,88
608,21968,88
609,22008,88
610,22043,88
611,22078,88
612,22120,88
613,22156,88
614,22192,88
615,22234,88
616,22276,88
617,22307,88
618,22348,88
619,22391,88
620,22425,88
621,22463,88
622,22503,88
623,22539,88
624,22578,88
625,22617,88
626,22647,88
627,22684,88
628,22722,88
629,22754,88
630,22790,88
631,22828,88
632,22853,88
633,22885,88
634,22924,88
635,22951,88
636,22989,88
637,23026,88
638,23053,88
639,23088,88
640,23119,88
641,23146,88
642,23181,88
643,23214,88
644,23241,88
645,23274,88
646,23302,88
647,23328,88
648,23362,88
649,23393,88
650,23419,88
651,23448,88
652,23477,88
653,23499,88
654,23528,87
655,23558,87
656,23581,87
657,23607,87
658,23637,87
659,23662,87
660,23688,87
661,23720,87
662,23740,87
663,23764,87
664,23793,87
665,23815,87
666,23839,87
667,23870,87
668,23895,87
669,23921,86
670,23949,86
671,23968,86
672,23991,86
673,24020,86
674,24040,86
675,24063,86
676,24091,86
677,24109,86
678,24130,86
679,24154,86
680,24176,86
681,24196,85
682,24219,85
683,24237,85
684,24256,85
685,24281,85
686,24296,85
687,24315,85
688,24338,85
689,24350,85
690,24371,85
691,24392,85
692,24407,85
693,24425,85
694,24442,85
695,24456,85
696,24474,85
697,24489,85
698,24501,85
699,24516,85
700,24477,170
701,24413,170
702,24370,170
703,24338,170
704,24307,170
705,24285,170
706,24262,170
707,24243,170
708,24228,170
709,24217,170
710,24205,170
711,24193,170
712,24186,170
713,24178,170
714,24173,170
715,24169,170
716,24172,170
717,24165,170
718,24168,170
719,24169,170
720,24171,170
721,24173,170
722,24174,170
723,24178,170
724,24183,170
725,24188,170
726,24186,170
727,24191,170
728,24195,170
729,24200,170
730,24201,170
731,24199,170
732,24205,170
733,24205,170
734,24208,170
735,24210,170
736,24215,170
737,24218,170
738,24222,170
739,24223,170
740,24225,170
741,24231,170
742,24232,170
743,24227,170
744,24232,170
745,24234,170
746,24232,170
747,24230,170
748,24230,170
749,24230,170
750,24229,170
751,24229,170
752,24230,170
753,24234,169
754,24234,168
755,24233,168
756,24239,167
757,24238,165
758,24238,163
759,24246,161
760,24247,159
761,24244,156
762,24251,154
763,24255,153
764,24253,151
765,24262,149
766,24263,148
767,24269,147
768,24278,145
769,24284,144
770,24290,143
771,24300,142
772,24310,141
773,24317,139
774,24328,138
775,24338,137
776,24346,136
777,24356,135
778,24359,135
779,24367,134
780,24381,133
781,24387,132
782,24395,132
783,24403,131
784,24409,130
785,24422,129
786,24431,129
787,24441,128
788,24456,128
789,24463,128
790,24474,127
791,24490,127
792,24501,127
793,24509,127
794,24526,127
795,24541,127
796,24551,127
797,24563,126
798,24575,126
799,24584,126
800,24531,252
801,24433,252
802,24355,252
803,24291,252
804,24236,252
805,24188,251
806,24144,251
807,24108,251
808,24075,251
809,24049,251
810,24019,251
811,23995,251
812,23979,251
813,23961,251
814,23944,251
815,23930,251
816,23921,251
817,23907,251
818,23895,251
819,23888,251
820,23878,251
821,23870,251
822,23866,251
823,23857,251
824,23851,251
825,23846,251
826,23843,250
827,23838,250
828,23837,250
829,23826,250
830,23823,250
831,23819,250
832,23817,250
833,23815,250
834,23812,250
835,23809,250
836,23805,250
837,23802,250
838,23800,250
839,23795,250
840,23797,250
841,23795,250
842,23793,250
843,23794,250
844,23796,249
845,23794,249
846,23800,249
847,23801,249
848,23803,249
849,23814,248
850,23826,245
851,23827,244
852,23829,243
853,23840,240
854,23845,237
855,23846,233
856,23860,230
857,23863,229
858,23866,225
859,23876,222
860,23881,218
861,23890,216
862,23902,214
863,23909,211
864,23921,209
865,23938,207
866,23953,206
867,23968,204
868,23989,203
869,24009,202
870,24027,202
871,24041,201
872,24064,200
873,24087,200
874,24107,199
875,24127,198
876,24153,198
877,24174,198
878,24195,197
879,24221,197
880,24236,196
881,24257,196
882,24282,196
883,24303,196
884,24324,196
885,24343,196
886,24364,195
887,24384,195
888,24402,195
889,24421,195
890,24431,195
891,24448,195
892,24464,194
893,24471,194
894,24485,194
895,24496,194
896,24501,194
897,24510,194
898,24520,194
899,24526,194
900,24425,389
901,24255,389
902,24127,389
903,24016,389
904,23923,389
905,23830,389
906,23745,389
907,23673,389
908,23610,389
909,23555,389
910,23506,389
911,23461,389
912,23417,389
913,23381,389
914,23347,389
915,23317,389
916,23290,389
917,23271,389
918,23247,389
919,23226,389
920,23208,389
921,23197,389
922,23182,389
923,23164,389
924,23152,389
925,23144,389
926,23130,388
927,23121,388
928,23114,388
929,23105,388
930,23094,388
931,23087,388
932,23078,388
933,23072,388
934,23073,388
935,23069,388
936,23062,388
937,23064,388
938,23059,388
939,23051,388
940,23054,388
941,23051,388
942,23047,388
943,23049,387
944,23045,387
945,23042,387
946,23045,387
947,23040,387
948,23040,387
949,23046,386
950,23043,383
951,23043,380
952,23049,377
953,23049,373
954,23049,367
955,23055,360
956,23054,352
957,23060,345
958,23068,338
959,23076,331
960,23088,324
961,23093,319
962,23103,313
963,23114,307
964,23119,302
965,23130,297
966,23145,293
967,23157,289
968,23167,285
969,23184,282
970,23201,279
971,23211,276
972,23226,273
973,23241,271
974,23251,267
975,23264,265
976,23280,263
977,23295,261
978,23318,259
979,23333,258
980,23349,257
981,23370,255
982,23390,254
983,23407,251
984,23432,251
985,23450,250
986,23473,249
987,23499,249
988,23520,248
989,23535,247
990,23558,246
991,23582,246
992,23606,245
993,23637,244
994,23667,244
995,23688,243
996,23718,243
997,23744,242
998,23768,242
999,23803,241
1000,23736,483
1001,23572,482
1002,23460,481
1003,23368,480
1004,23276,480
1005,23202,480
1006,23144,479
1007,23086,479
1008,23044,479
1009,23011,478
1010,22978,478
1011,22945,478
1012,22909,477
1013,22885,477
1014,22868,477
1015,22850,477
1016,22837,477
1017,22833,476
1018,22816,476
1019,22810,476
1020,22806,476
1021,22795,475
1022,22792,475
1023,22780,475
1024,22770,474
1025,22763,474
1026,22760,473
1027,22752,473
1028,22753,472
1029,22747,471
1030,22741,471
1031,22738,470
1032,22737,469
1033,22738,468
1034,22735,468
1035,22736,468
1036,22727,467
1037,22730,467
1038,22727,466
1039,22724,466
1040,22724,464
1041,22729,463
1042,22733,462
1043,22738,461
1044,22747,461
1045,22744,460
1046,22753,459
1047,22755,458
1048,22759,457
1049,22770,455
1050,22776,430
1051,22783,424
1052,22788,419
1053,22794,414
1054,22801,409
1055,22815,403
1056,22828,394
1057,22835,387
1058,22844,380
1059,22856,373
1060,22866,368
1061,22880,361
1062,22890,355
1063,22910,349
1064,22933,345
1065,22952,342
1066,22978,339
1067,23010,336
1068,23030,333
1069,23063,330
1070,23101,328
1071,23122,326
1072,23158,324
1073,23205,322
1074,23226,320
1075,23267,319
1076,23315,318
1077,23340,317
1078,23371,316
1079,23418,315
1080,23442,314
1081,23476,313
1082,23516,312
1083,23540,311
1084,23579,311
1085,23615,311
1086,23644,310
1087,23684,310
1088,23724,309
1089,23752,308
1090,23788,308
1091,23830,307
1092,23855,307
1093,23892,306
1094,23926,306
1095,23949,306
1096,23982,305
1097,24011,305
1098,24033,305
1099,24059,305
1100,23918,610
1101,23664,610
1102,23471,610
1103,23308,610
1104,23160,610
1105,23029,610
1106,22908,609
1107,22795,609
1108,22694,609
1109,22610,609
1110,22530,609
1111,22462,609
1112,22400,609
1113,22349,609
1114,22306,609
1115,22268,609
1116,22228,609
1117,22194,609
1118,22159,609
1119,22134,609
1120,22092,609
1121,22064,609
1122,22043,608
1123,22013,608
1124,21991,608
1125,21965,608
1126,21936,608
1127,21925,608
1128,21909,608
1129,21883,608
1130,21881,608
1131,21866,608
1132,21847,608
1133,21849,608
1134,21836,608
1135,21826,608
1136,21830,608
1137,21828,608
1138,21820,608
1139,21823,608
1140,21826,608
1141,21823,608
1142,21824,608
1143,21827,607
1144,21831,607
1145,21837,607
1146,21841,607
1147,21832,607
1148,21834,606
1149,21838,606
1150,21835,602
1151,21845,599
1152,21848,595
1153,21855,592
1154,21869,587
1155,21880,580
1156,21888,574
1157,21902,566
1158,21912,555
1159,21916,545
1160,21935,533
1161,21936,524
1162,21947,514
1163,21961,506
1164,21969,498
1165,21979,492
1166,21998,485
1167,22014,479
1168,22040,473
1169,22069,468
1170,22093,464
1171,22121,459
1172,22162,455
1173,22183,451
1174,22215,446
1175,22259,442
1176,22286,439
1177,22325,436
1178,22380,432
1179,22407,430
1180,22444,427
1181,22496,424
1182,22535,421
1183,22571,418
1184,22623,416
1185,22671,414
1186,22710,412
1187,22763,410
1188,22799,408
1189,22846,406
1190,22898,403
1191,22946,402
1192,22984,400
1193,23037,398
1194,23081,397
1195,23116,396
1196,23168,395
1197,23219,394
1198,23258,393
1199,23309,392
1200,23187,781
1201,22909,780
1202,22712,779
1203,22528,778
1204,22367,777
1205,22228,775
1206,22109,774
1207,22005,773
1208,21912,772
1209,21833,771
1210,21747,770
1211,21688,770
1212,21630,769
1213,21573,767
1214,21540,766
1215,21501,766
1216,21459,765
1217,21438,764
1218,21410,763
1219,21381,762
1220,21360,761
1221,21336,761
1222,21314,761
1223,21307,760
1224,21286,759
1225,21268,758
1226,21258,757
1227,21241,757
1228,21226,756
1229,21211,756
1230,21204,755
1231,21196,755
1232,21188,755
1233,21172,754
1234,21162,753
1235,21161,753
1236,21147,753
1237,21137,753
1238,21142,752
1239,21141,751
1240,21137,751
1241,21148,750
1242,21155,750
1243,21156,749
1244,21165,749
1245,21172,748
1246,21181,747
1247,21189,746
1248,21191,745
1249,21206,744
1250,21218,726
1251,21225,722
1252,21241,717
1253,21249,710
1254,21256,702
1255,21275,691
1256,21296,681
1257,21309,671
1258,21323,663
1259,21349,653
1260,21362,644
1261,21388,635
1262,21419,626
1263,21447,617
1264,21466,609
1265,21492,602
1266,21519,594
1267,21554,588
1268,21579,581
1269,21610,574
1270,21645,569
1271,21680,563
1272,21713,558
1273,21750,554
1274,21789,549
1275,21828,544
1276,21867,540
1277,21904,537
1278,21946,533
1279,21993,528
1280,22030,525
1281,22081,523
1282,22127,521
1283,22163,518
1284,22206,515
1285,22259,512
1286,22308,510
1287,22357,509
1288,22406,505
1289,22451,503
1290,22511,501
1291,22561,499
1292,22608,497
