generation,fish,shark
0,2496,828
1,1959,828
2,1589,828
3,2580,828
4,2203,828
5,1841,828
6,2885,828
7,2576,828
8,2204,828
9,3146,828
10,2935,828
11,2601,828
12,3385,828
13,3257,828
14,2980,828
15,3610,828
16,3544,828
17,3321,828
18,3835,828
19,3814,828
20,3635,828
21,4051,828
22,4061,828
23,3925,828
24,4271,828
25,4303,828
26,4205,828
27,4485,828
28,4528,828
29,4462,828
30,4692,828
31,4735,828
32,4687,828
33,4870,828
34,4922,828
35,4893,828
36,5036,828
37,5089,828
38,5076,828
39,5196,828
40,5249,828
41,5252,828
42,5356,828
43,5406,828
44,5410,828
45,5496,828
46,5539,828
47,5560,828
48,5625,828
49,5662,828
50,5678,828
51,5740,828
52,5771,828
53,5787,828
54,5837,828
55,5871,828
56,5880,828
57,5918,828
58,5943,828
59,5960,828
60,5992,828
61,6015,828
62,6032,828
63,6067,828
64,6084,828
65,6100,828
66,6131,828
67,6148,828
68,6165,828
69,6193,828
70,6204,828
71,6214,828
72,6233,828
73,6249,828
74,6258,828
75,6273,828
76,6290,828
77,6304,828
78,6317,828
79,6330,828
80,6342,828
81,6358,828
82,6364,828
83,6377,828
84,6393,828
85,6398,828
86,6408,828
87,6419,828
88,6422,828
89,6426,828
90,6440,828
91,6444,828
92,6443,828
93,6452,828
94,6464,827
95,6476,827
96,6476,827
97,6479,827
98,6493,827
99,6492,827
100,6131,1655
101,5260,1655
102,4513,1655
103,3851,1655
104,3234,1655
105,2675,1655
106,2202,1655
107,1784,1655
108,1432,1655
109,1152,1655
110,926,1655
111,737,1655
112,585,1655
113,469,1655
114,373,1655
115,298,1655
116,243,1655
117,195,1655
118,160,1655
119,132,1655
120,105,1655
121,87,1655
122,73,1655
123,61,1655
124,53,1655
125,44,1655
126,35,1655
127,30,1655
128,26,1655
129,22,1655
130,19,1655
131,16,1655
132,13,1655
133,11,1655
134,9,1655
135,8,1655
136,7,1655
137,7,1655
138,6,1655
139,5,1655
140,5,1655
141,4,1655
142,3,1654
143,4,1654
144,3,1654
145,3,1653
146,3,1653
147,3,1652
148,2,1651
149,2,1650
150,2,1632
151,1,1615
152,1,1582
153,1,1531
154,1,1461
155,1,1373
156,1,1267
157,0,1146
158,1,1019
159,1,895
160,1,779
161,1,674
162,1,573
163,0,484
164,1,408
165,0,342
166,0,288
167,1,240
168,1,203
169,0,171
170,1,143
171,1,120
172,1,102
173,2,87
174,2,75
175,2,63
176,4,53
177,4,46
178,4,39
179,7,35
180,7,30
181,7,26
182,10,22
183,11,19
184,11,16
185,15,14
186,16,13
187,17,11
188,21,10
189,23,9
190,24,8
191,29,7
192,31,6
193,33,6
194,39,6
195,42,5
196,44,5
197,50,4
198,53,4
199,56,3
200,65,6
201,67,6
202,70,6
203,78,6
204,82,5
205,85,5
206,94,5
207,99,5
208,103,5
209,113,5
210,118,5
211,123,4
212,134,4
213,141,4
214,146,4
215,158,4
216,165,4
217,170,4
218,183,4
219,191,4
220,197,4
221,210,4
222,218,4
223,225,4
224,238,4
225,248,4
226,254,4
227,268,4
228,278,4
229,286,4
230,301,4
231,312,4
232,320,4
233,336,4
234,347,4
235,356,4
236,373,4
237,385,4
238,395,4
239,412,4
240,424,4
241,434,4
242,453,4
243,467,4
244,477,4
245,496,4
246,510,4
247,522,4
248,541,4
249,557,4
250,569,2
251,590,2
252,606,2
253,618,2
254,640,2
255,657,2
256,670,2
257,691,2
258,707,2
259,721,2
260,742,2
261,758,2
262,773,2
263,794,2
264,810,2
265,825,2
266,847,2
267,863,2
268,878,2
269,900,2
270,917,2
271,933,2
272,955,2
273,972,2
274,987,2
275,1011,2
276,1028,2
277,1044,2
278,1067,2
279,1086,2
280,1102,2
281,1125,2
282,1144,2
283,1161,2
284,1184,2
285,1204,2
286,1221,2
287,1245,2
288,1265,2
289,1283,2
290,1307,2
291,1328,2
292,1346,2
293,1370,2
294,1391,2
295,1410,2
296,1436,2
297,1457,2
298,1476,2
299,1502,2
300,1522,4
301,1539,4
302,1565,4
303,1586,4
304,1606,4
305,1634,4
306,1656,4
307,1676,4
308,1704,4
309,1726,4
310,1747,4
311,1775,4
312,1798,4
313,1820,4
314,1847,4
315,1869,4
316,1892,4
317,1921,4
318,1944,4
319,1966,4
320,1996,4
321,2020,4
322,2042,4
323,2072,4
324,2095,4
325,2118,4
326,2148,4
327,2172,4
328,2196,4
329,2226,4
330,2252,4
331,2276,4
332,2307,4
333,2331,4
334,2356,4
335,2387,4
336,2412,4
337,2437,4
338,2469,4
339,2496,4
340,2521,4
341,2554,4
342,2581,4
343,2606,4
344,2640,4
345,2667,4
346,2693,4
347,2726,4
348,2753,4
349,2778,4
350,2810,4
351,2837,4
352,2861,4
353,2895,4
354,2922,4
355,2946,4
356,2978,4
357,3005,4
358,3030,4
359,3062,4
360,3089,4
361,3114,4
362,3145,4
363,3172,4
364,3197,4
365,3230,4
366,3257,4
367,3282,4
368,3314,4
369,3340,4
370,3366,4
371,3399,4
372,3426,4
373,3452,4
374,3485,4
375,3512,4
376,3537,4
377,3570,4
378,3597,4
379,3621,4
380,3652,4
381,3679,4
382,3704,4
383,3735,4
384,3761,4
385,3785,4
386,3816,4
387,3843,4
388,3867,4
389,3899,4
390,3926,4
391,3950,4
392,3982,4
393,4008,4
394,4032,4
395,4063,4
396,4090,4
397,4115,4
398,4146,4
399,4173,4
400,4193,9
401,4223,9
402,4249,9
403,4273,9
404,4305,9
405,4333,9
406,4358,9
407,4389,9
408,4418,9
409,4443,9
410,4475,9
411,4504,9
412,4530,9
413,4562,9
414,4590,9
415,4615,9
416,4648,9
417,4677,9
418,4702,9
419,4733,9
420,4762,9
421,4789,9
422,4821,9
423,4848,9
424,4874,9
425,4905,9
426,4932,9
427,4957,9
428,4988,9
429,5014,9
430,5039,9
431,5069,9
432,5095,9
433,5120,9
434,5149,9
435,5175,9
436,5199,9
437,5227,9
438,5254,9
439,5277,9
440,5306,9
441,5332,9
442,5356,9
443,5384,9
444,5410,9
445,5433,9
446,5460,9
447,5485,9
448,5509,9
449,5538,9
450,5563,9
451,5586,9
452,5615,9
453,5640,9
454,5663,9
455,5690,9
456,5715,9
457,5739,9
458,5767,9
459,5792,9
460,5814,9
461,5842,9
462,5867,9
463,5889,9
464,5917,9
465,5942,9
466,5963,9
467,5992,9
468,6017,9
469,6039,9
470,6067,9
471,6092,9
472,6114,9
473,6141,9
474,6167,9
475,6189,9
476,6217,9
477,6242,9
478,6264,9
479,6292,9
480,6316,9
481,6339,9
482,6366,9
483,6390,9
484,6412,9
485,6440,9
486,6464,9
487,6486,9
488,6513,9
489,6537,9
490,6559,9
491,6587,9
492,6611,9
493,6633,9
494,6660,9
495,6686,9
496,6707,9
497,6735,9
498,6759,9
499,6780,9
500,6798,19
501,6816,19
502,6834,19
503,6860,19
504,6882,19
505,6903,19
506,6929,19
507,6950,19
508,6971,19
509,6997,19
510,7018,19
511,7039,19
512,7062,19
513,7084,19
514,7104,19
515,7128,19
516,7150,19
517,7169,19
518,7192,19
519,7213,19
520,7233,19
521,7256,19
522,7277,19
523,7294,19
524,7316,19
525,7337,19
526,7355,19
527,7378,19
528,7398,19
529,7415,19
530,7437,19
531,7457,19
532,7474,19
533,7495,19
534,7514,19
535,7531,19
536,7552,19
537,7570,19
538,7587,19
539,7608,19
540,7627,19
541,7643,19
542,7662,19
543,7678,19
544,7692,19
545,7710,19
546,7725,19
547,7738,19
548,7755,19
549,7767,19
550,7780,19
551,7795,19
552,7806,19
553,7818,19
554,7833,19
555,7844,19
556,7855,19
557,7870,19
558,7881,19
559,7893,19
560,7907,19
561,7918,19
562,7928,19
563,7942,19
564,7952,19
565,7963,19
566,7975,19
567,7986,19
568,7996,19
569,8008,19
570,8017,19
571,8027,19
572,8039,19
573,8049,19
574,8058,19
575,8069,19
576,8078,19
577,8087,19
578,8097,19
579,8105,19
580,8114,19
581,8122,19
582,8130,19
583,8137,19
584,8145,19
585,8152,19
586,8159,19
587,8167,19
588,8174,19
589,8179,19
590,8186,19
591,8192,19
592,8197,19
593,8204,19
594,8209,19
595,8214,19
596,8220,19
597,8225,19
598,8229,19
599,8234,19
600,8222,38
601,8211,38
602,8210,38
603,8212,38
604,8210,38
605,8212,38
606,8213,38
607,8214,38
608,8216,38
609,8218,38
610,8219,38
611,8221,38
612,8223,38
613,8225,38
614,8226,38
615,8228,38
616,8229,38
617,8231,38
618,8233,38
619,8235,38
620,8236,38
621,8238,38
622,8239,38
623,8242,38
624,8243,38
625,8243,38
626,8245,38
627,8246,38
628,8247,38
629,8247,38
630,8247,38
631,8249,38
632,8249,38
633,8249,38
634,8250,38
635,8251,38
636,8251,38
637,8251,38
